8	30	-14.668	-22.481
40	28	-1.5715	36.065
10	18	6.6908	-30.337
25	33	-29.919	7.3414
21	33	-37.081	0.51004
20	33	-33.457	-0.90702
10	20	1.6291	-27.625
2	6	7.4613	-16.398
6	23	-5.1182	-34.491
27	37	-31.287	2.878
28	11	18.402	16.4
35	14	4.9364	34.527
11	13	16.161	-22.373
0	29	-0.3168	-29.719
22	28	-24.105	6.9861
8	11	17.152	-23.21
37	35	-7.0262	11.838
11	3	28.35	-4.3663
9	2	24.467	-5.8009
21	39	-37.147	1.426
10	25	-9.7855	-27.367
0	31	-0.95477	-25.327
40	5	-2.5967	12.729
36	12	7.735	33.864
39	0	2.0894	-2.9384
34	22	-5.0429	32.255
15	37	-36.143	-5.6843
3	18	1.4564	-38.514
30	14	13.05	26.935
27	21	-3.9509	20.833
17	3	38.032	-1.653
5	31	-11.537	-25.964
12	15	12.206	-22.427
27	6	30.566	10.491
20	15	14.586	4.5058
30	11	21.044	20.352
26	12	22.042	11.516
2	0	4.6562	-2.2844
40	9	3.0649	26.973
7	18	-0.42757	-31.581
18	5	35.551	0.23326
22	15	16.73	8.0026
26	18	9.0864	18.55
33	21	-2.8354	36.452
31	22	0.10595	31.486
12	13	20.01	-19.254
7	8	18.789	-18.111
34	6	15.821	14.285
26	22	-5.4729	16.357
24	13	23.495	10.59
19	26	-15.326	-3.6692
25	32	-29.266	7.5724
15	33	-31.133	-5.7066
35	28	-5.8797	29.082
19	11	27.217	-0.92342
18	21	-3.01	-9.7377
12	22	-4.6906	-21.531
22	19	4.1852	5.0952
23	5	34.759	-0.94805
5	14	6.1058	-34.164
29	35	-29.653	9.4077
8	10	17.326	-20.818
11	7	25.574	-12.75
28	21	-1.5874	22.38
7	15	5.5678	-31.137
17	34	-36.116	-4.7487
8	29	-13.333	-24.746
5	28	-8.3909	-28.235
33	12	15.211	28.976
13	0	36.224	-3.1121
19	13	20.822	-0.12034
2	30	-3.3703	-25.939
3	9	6.9522	-25.473
13	39	-34.607	-3.4322
12	0	30.448	-0.4212
13	33	-27.811	-10.501
26	8	30.264	7.6992
17	10	27.068	-7.4253
34	18	2.5595	35.213
35	23	-3.1477	37.164
22	24	-10.558	7.8761
13	39	-36.533	0.79391
22	19	2.8754	9.7335
10	25	-9.7222	-27.877
15	25	-13.014	-16.238
34	25	-5.3641	35.603
35	15	6.4633	31.185
3	28	-6.0897	-33.108
38	12	2.534	34.099
0	15	2.6679	-40.132
3	31	-5.7836	-23.759
30	20	1.8906	30.424
15	25	-11.352	-16.36
8	16	7.5205	-29.101
34	8	14.071	17.414
35	20	0.48201	35.64
31	19	3.2971	30.27
14	5	29.394	-7.5508
39	19	1.9806	40.45
13	19	-0.69867	-20.519
23	1	38.554	2.4665
9	3	24.803	-9.4552
24	13	15.981	9.551
12	40	-33.272	2.8313
28	25	-11.387	22.641
2	30	-2.7552	-27.425
3	11	4.1331	-29.599
7	21	-4.2556	-31.104
7	0	23.617	4.1939
6	33	-15.316	-21.097
11	9	21.881	-16.385
7	26	-10.118	-27.87
1	25	-2.4473	-35.982
2	6	6.1392	-23.294
0	31	1.3333	-27.523
25	13	16.006	12.135
11	9	19.204	-17.379
19	29	-25.987	0.15197
7	13	10.135	-25.007
33	21	1.1683	34.958
0	17	-0.4446	-37.039
21	32	-32.831	4.3203
37	22	-3.5532	37.391
30	37	-24.572	5.2259
31	5	26.226	11.92
14	36	-34.561	-4.5315
39	11	1.2992	27.939
14	38	-33.735	-1.2707
35	2	12.73	5.3551
30	22	-5.3211	26.745
17	0	37.791	2.0521
21	5	36.604	1.4246
13	35	-26.479	-8.6645
4	26	-8.1472	-34.546
32	34	-23.965	13.994
19	28	-20.168	-0.53081
5	5	14.033	-17.694
19	27	-19.582	-3.6323
37	19	-1.439	34.881
18	37	-39.897	0.47295
26	36	-33.566	2.8022
18	28	-24.116	-6.7185
4	26	-2.5106	-35.872
14	10	26.296	-10.744
12	28	-19.934	-19.15
0	30	-1.3471	-28.759
6	31	-14.587	-24.328
35	16	6.1482	36.824
30	2	29.136	1.6221
2	28	-2.0712	-33.292
6	16	3.3313	-32.69
38	34	-6.3262	14.677
36	10	11.007	26.931
13	39	-36.972	-2.5921
18	37	-37.499	2.0299
29	13	13.842	24.419
17	31	-27.887	-6.035
21	30	-28.843	2.9028
38	24	1.6047	37.056
20	5	36.563	6.3093
33	1	22.172	2.2861
30	35	-28.382	6.795
6	24	-6.4129	-35.079
32	3	23.561	6.6457
0	10	-5.1172	-31.473
29	34	-27.06	12.355
20	2	38.055	2.783
13	33	-29.974	-11.952
