4	38	-0.36654
36	25	4.3315
14	25	1.2561
18	0	8.2292
2	8	2.7137
34	3	10.308
11	6	3.6717
37	3	9.0461
2	5	2.4975
25	2	7.6147
23	11	6.2518
27	1	11.19
13	30	2.382
1	38	1.3406
11	9	3.3343
38	24	1.5368
32	17	3.5297
13	7	5.8492
30	7	7.1029
23	7	7.2786
0	38	-1.0378
17	20	0.94905
1	32	-1.9962
32	7	7.3294
40	9	3.6189
28	34	3.2555
31	20	4.8436
24	40	1.5693
11	7	4.7304
30	38	1.385
28	15	2.8192
18	18	3.0586
17	14	3.0527
6	5	3.5666
22	33	2.0597
8	7	3.1577
30	34	1.4477
29	16	3.5663
28	17	4.4923
30	21	3.0524
26	17	5.5109
36	0	9.3711
20	27	1.386
14	10	3.689
39	24	3.88
5	14	0.66157
8	22	1.2008
6	32	-0.88133
33	22	3.4404
2	12	0.16478
20	18	2.9722
24	37	1.6101
14	36	1.0919
28	36	1.6264
35	39	4.4073
36	30	3.2197
39	0	10.979
36	40	2.9845
0	18	-0.2875
1	21	-0.31211
35	3	6.8001
18	32	0.60624
18	29	1.5517
13	22	1.9223
38	30	2.4368
29	28	2.6018
38	25	1.5178
21	3	7.1356
0	15	1.7383
33	16	4.1764
11	28	0.36548
35	16	4.1658
35	22	3.6122
22	25	2.1642
18	17	2.9189
34	34	1.4662
14	22	3.3392
9	33	1.6801
2	12	-0.20685
5	35	-0.32063
23	8	4.3674
37	4	9.0045
31	3	8.4971
28	6	7.0567
17	32	1.697
39	39	0.01339
30	8	5.7591
15	31	1.6315
22	1	8.154
9	4	1.4916
10	7	2.6015
30	37	1.8347
12	22	2.9571
17	1	7.2354
30	35	1.8794
14	38	0.48041
18	19	3.2407
1	17	0.75932
29	25	1.9355
25	9	7.1107
5	28	-1.0623
8	40	0.4809
12	6	3.9501
1	25	1.8012
8	26	0.74618
2	26	3.5249
0	40	-0.27518
26	15	3.83
32	10	8.4086
16	18	2.8979
10	4	3.6672
11	14	2.7423
29	32	0.99489
7	12	0.4113
23	29	1.4919
10	26	1.3771
38	34	2.8798
23	21	4.4156
36	15	5.086
40	25	3.8136
38	24	5.4951
19	21	3.5036
5	29	1.5525
2	15	0.16819
15	4	6.7903
22	15	3.0733
37	33	1.5127
38	36	0.69825
33	14	4.3871
7	0	5.4384
16	1	6.6173
37	34	1.3263
21	38	2.3411
18	31	1.3445
11	39	1.0677
25	20	4.0491
7	22	0.2668
38	26	2.2215
29	39	3.3525
34	37	1.6979
20	1	8.921
39	23	4.2304
34	29	2.9093
4	6	1.5988
38	2	9.8584
28	21	2.176
12	1	6.5919
35	20	1.4917
38	8	5.0657
27	19	3.3412
23	26	2.4012
6	2	1.0253
40	35	2.3653
33	1	9.4054
37	26	1.5114
28	20	2.4206
12	23	0.81626
30	36	0.80319
11	7	3.5553
25	8	6.3065
12	5	3.8049
21	33	1.5803
30	30	1.5708
30	36	1.8275
16	6	6.88
6	17	2.1337
0	25	-0.41371
4	24	0.74548
